,Composition,Synth. Probability,Half Heusler (F-43m),Experimental Structure,Electron Count,Label
1212,MnCuSb,0.671,0.120689718,Half Heusler (F-43m),23,Half Heusler
1852,TaCoSb,0.665,0.194806852,Half Heusler (F-43m),19,Half Heusler
1701,MgCuBi,0.662,0.002426498,Half Heusler (F-43m),24,Half Heusler
1403,MnAuSn,0.655,0.074360835,Half Heusler (F-43m),22,Half Heusler
1813,NbRhSn,0.647,0,Half Heusler (F-43m),18,Half Heusler
1413,ErAuSn,0.636,0,Half Heusler (F-43m),29,Half Heusler
1831,MnIrSn,0.635,0.143541613,Half Heusler (F-43m),20,Half Heusler
1872,MgAuSn,0.633,0,Half Heusler (F-43m),23,Half Heusler
1271,TiRhSn,0.632,0.055384368,Half Heusler (F-43m),17,Half Heusler
1731,HfRuSb,0.627,0.056803575,Half Heusler (F-43m),17,Half Heusler
1333,NdLiSn,0.618,0.166461184,Half Heusler (F-43m),13,Half Heusler
1334,PdInSn,0.6,0,phase_separating,23,Phase Separating
1822,LiMgBi,0.599,0,Half Heusler (F-43m),16,Half Heusler
305,NbSnSb,0.599,0.564052562,[CuAl2],14,Other non-HH Prototype
1814,ZrRuSb,0.597,0.065944676,Half Heusler (F-43m),17,Half Heusler
1874,ZrNiBi,0.595,0.064560656,Half Heusler (F-43m),19,Half Heusler
1631,FeZnSb,0.592,0.153768209,Half Heusler (F-43m),25,Half Heusler
1896,CoNiSb,0.591,0.190441103,AsHgK (P63/mmc),24,Common non-HH Prototype
1661,ZrNiSn,0.586,0,Half Heusler (F-43m),18,Half Heusler
740,LiMnSb,0.58,0.193178072,[LiMnAs],15,Other non-HH Prototype
1581,LiMgSb,0.58,0,Half Heusler (F-43m),16,Half Heusler
1199,TiAuGa,0.579,0.050543082,[InNi2#Co1.75Ge],18,Other non-HH Prototype
1791,LiAuSb,0.578,0,Half Heusler (F-43m),19,Half Heusler
1192,LiInSn,0.568,0,Half Heusler (F-43m),10,Half Heusler
1311,ScAuSn,0.556,0,Half Heusler (F-43m),18,Half Heusler
